Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,BWH,BWD,BWA,,,,,,,,,,,
D2,07/08/04,Dresden,Duisburg,3,1,H,2.2,3.3,2.9,,,,,,,,,,,
D2,07/08/04,Essen,Erzgebirge Aue,1,5,A,1.9,3.3,3.65,,,,,,,,,,,
D2,07/08/04,Karlsruhe,Burghausen,1,1,D,2,3.25,3.4,,,,,,,,,,,
D2,08/08/04,FC Koln,Cottbus,0,0,D,1.8,3.4,4,,,,,,,,,,,
D2,08/08/04,Greuther Furth,Ahlen,1,0,H,1.85,3.3,3.85,,,,,,,,,,,
D2,08/08/04,Munich 1860,Unterhaching,2,2,D,1.8,3.4,4,,,,,,,,,,,
D2,08/08/04,Oberhausen,Ein Trier,1,1,D,1.85,3.3,3.85,,,,,,,,,,,
D2,08/08/04,Saarbrucken,Erfurt,0,2,A,1.9,3.3,3.65,,,,,,,,,,,
D2,09/08/04,Aachen,Ein Frankfurt,1,1,D,2.3,3.2,2.8,,,,,,,,,,,
D2,13/08/04,Burghausen,FC Koln,4,2,H,3,3.4,2.1,,,,,,,,,,,
D2,13/08/04,Duisburg,Saarbrucken,2,1,H,1.55,3.6,5.5,,,,,,,,,,,
D2,13/08/04,Erzgebirge Aue,Munich 1860,3,1,H,2.5,3.3,2.5,,,,,,,,,,,
D2,15/08/04,Ahlen,Aachen,1,1,D,2.25,3.3,2.8,,,,,,,,,,,
D2,15/08/04,Ein Frankfurt,Karlsruhe,2,1,H,1.6,3.6,5,,,,,,,,,,,
D2,15/08/04,Ein Trier,Essen,1,1,D,1.7,3.5,4.4,,,,,,,,,,,
D2,15/08/04,Erfurt,Oberhausen,1,1,D,2.25,3.3,2.8,,,,,,,,,,,
D2,15/08/04,Unterhaching,Greuther Furth,1,2,A,2.15,3.2,3.1,,,,,,,,,,,
D2,16/08/04,Cottbus,Dresden,2,1,H,1.75,3.4,4.2,,,,,,,,,,,
D2,27/08/04,Aachen,Karlsruhe,4,0,H,1.65,3.4,4.7,,,,,,,,,,,
D2,27/08/04,Essen,Erfurt,0,0,D,2,3.25,3.3,,,,,,,,,,,
D2,27/08/04,Munich 1860,Ein Trier,2,0,H,1.7,3.4,4.3,,,,,,,,,,,
D2,29/08/04,Ahlen,Unterhaching,1,2,A,2.05,3.2,3.2,,,,,,,,,,,
D2,29/08/04,Dresden,Burghausen,1,1,D,1.9,3.3,3.55,,,,,,,,,,,
D2,29/08/04,Greuther Furth,Erzgebirge Aue,1,0,H,1.9,3.3,3.55,,,,,,,,,,,
D2,29/08/04,Oberhausen,Duisburg,0,2,A,2.3,3.2,2.75,,,,,,,,,,,
D2,29/08/04,Saarbrucken,Cottbus,0,0,D,2.9,3.2,2.2,,,,,,,,,,,
D2,30/08/04,FC Koln,Ein Frankfurt,2,0,H,1.9,3.25,3.6,,,,,,,,,,,
D2,10/09/04,Burghausen,Saarbrucken,1,2,A,1.7,3.4,4.3,,,,,,,,,,,
D2,10/09/04,Cottbus,Oberhausen,1,0,H,1.7,3.4,4.3,,,,,,,,,,,
